Country,Official language,Regional language,Minority language,National language,Widely spoken
Ethiopia,['Amharic'],None,None,None,"['Oromo', 'Somali', 'Tigrinya', 'Afar', 'Sidamo', 'Kunama', 'Benshangul', 'Gumuz', 'English', 'Harari']"
Ethiopia,['Amharic'],None,None,None,"['Oromo', 'Somali', 'Tigrinya', 'Afar', 'Sidamo', 'Kunama', 'Benshangul', 'Gumuz', 'English', 'Harari']"
Fiji,"['English', 'Fijian', 'Fiji Hindi']",None,None,None,None
Finland,"['Finnish', 'Swedish']",None,"['Sami (in Enontekiö, Inari, Sodankylä, Utsjoki)']","['Finnish', 'Swedish']",None
France,['French'],None,None,None,None
France,['French'],None,None,None,None
Gabon,['French'],None,None,None,None
Gambia,['English'],None,None,None,None
Georgia,['Georgian'],None,None,None,None
Germany,['German'],"['Danish (in Schleswig-Holstein)', 'Lower Sorbian (in Brandenburg)', 'North Frisian (in Schleswig-Holstein)', 'Saterland Frisian (in Lower Saxony)', 'Upper Sorbian (in Saxony)', 'German Sign Language', 'Low German']","['Danish', 'Lower Sorbian', 'North Frisian', 'Romani', 'Upper Sorbian']",None,None
Ghana,['English'],"['Fante', 'Asante Twi', 'Akuapem Twi', 'Adangme (in Greater Accra)', 'Dagaare (in the Upper West Region)', 'Dagbani (in the Northern Region)', 'Ewe (in the Volta Region)', 'Ga (in the Greater Accra)', 'Gonja (in the Northern Region)', 'Kasem (in the Upper East Region)', 'Nzema (in the Western Region)']",None,None,None
Greece,['Greek'],None,None,None,None
Grenada,['English'],None,None,None,None
Guatemala,['Spanish'],None,None,None,None
Guinea,['French'],None,None,None,"['Fula', 'Maninka', 'Susu']"
Guinea-Bissau,['Portuguese'],None,None,None,None
Guyana,['English'],None,None,None,['Guyanese Creole']
Guyana,['English'],None,None,None,['Guyanese Creole']
Haiti,"['French', 'Haitian Creole']",None,None,None,None
Honduras,['Spanish'],"['Garifuna (on the Caribbean Coast)', 'English (in the Bay Islands)', 'Miskito (in Eastern Honduras)']",None,None,None
"Hong Kong, China","['Cantonese (de facto)', 'English']",None,None,None,['Traditional Chinese (written)']
Hungary,['Hungarian'],None,"['Croatian', 'German', 'Romanian', 'Serbian', 'Slovak', 'Slovene']",None,None
Hungary,['Hungarian'],None,"['Croatian', 'German', 'Romanian', 'Serbian', 'Slovak', 'Slovene']",None,None
Iceland,"['Icelandic', 'Icelandic Sign Language']",None,None,None,None
India,"['Hindi', 'English']",['(32 languages)'],None,None,None
Indonesia,['Indonesian'],None,None,None,"['Indonesian sign languages', 'Javanese', 'Sundanese', 'Madurese', 'Batak languages', 'Chinese', 'Minang', 'Aceh', 'Balinese', 'Buginese', 'Banjarese', 'English', '(700+ other languages)']"
Iran,['Persian'],"['Persian 53%', 'Azerbaijani and other Turkic dialects 18%', 'Kurdish 10%', 'Gilaki and Mazandarani 7%', 'Luri 6%', 'Arabic 2%', 'Balochi 2%', 'Other languages comprise 1%, and include Tati, Talysh, Georgian, Armenian, Circassian, Assyrian, etc.']",None,['Persian'],['Persian']
Iraq,['Arabic'],"['Armenian recognized', 'Assyrian Neo-Aramaic (in Assyrian areas)', 'Iraqi Turkmen (in Turkmen areas)', 'Kurdish']",None,None,None
Ireland,"['English', 'Irish']",None,None,['Irish'],None
Israel,['Hebrew'],['Arabic'],None,None,"['Russian', 'English']"
Italy,['Italian'],"['French (in Aosta Valley)', 'German (in South Tyrol)', 'Ladin (in South Tyrol)', 'Slovene (in Province of Trieste, Province of Gorizia)', 'Albanian/Arbereshe (in Sicily and Calabria)']","['Ladin', 'Slovene']",None,None
Ivory Coast,['French'],None,None,None,None
Ivory Coast,['French'],None,None,None,None
Jamaica,['English'],None,None,['Jamaican Patois'],None
Japan,['Japanese'],None,None,['Japanese'],None
Jordan,['Arabic'],None,None,None,None
Jordan,['Arabic'],None,None,None,None
Kazakhstan,"['Kazakh, Russian']",None,None,['Kazakh'],None
Kenya,['English'],None,None,['Swahili'],None
Kiribati,['English'],None,None,['Kiribati'],None
North Korea,['Korean'],None,None,None,None
South Korea,"['Korean', 'Korean Sign Language']",None,None,None,None
Kosovo,"['Albanian', 'Serbian']",['Turkish'],None,"['Albanian (nationwide)', 'Serbian (Northern Kosovo)']",None
Kuwait,['Standard Arabic'],None,None,"['Kuwaiti Sign Language', 'Kuwaiti Arabic', 'Kuwaiti Persian']",None
Kyrgyzstan,"['Kyrgyz, Russian']",None,None,['Kyrgyz'],None
Kyrgyzstan,"['Kyrgyz, Russian']",None,None,['Kyrgyz'],None
Laos,['Lao'],None,None,None,None
Latvia,['Latvian'],None,None,None,None
Lebanon,['Arabic'],['Arabic'],['Armenian'],"['Arabic', 'English', 'French']","['Arabic', 'English', 'French']"
Lesotho,"['Sotho', 'English']",None,None,['Sotho'],None
Liberia,['English'],None,None,None,None
Libya,['Arabic'],None,None,None,None
Liechtenstein,['German'],None,None,None,None
Lithuania,['Lithuanian'],None,None,None,None
Luxembourg,"['French', 'German', 'Luxembourgish']",None,None,['Luxembourgish'],None
Luxembourg,"['French', 'German', 'Luxembourgish']",None,None,['Luxembourgish'],None
"Macau, China","['Cantonese (de facto)', 'Portuguese']",None,None,None,['Chinese']
Madagascar,"['French', 'Malagasy']",None,None,['Malagasy'],None
Malawi,"['English', 'Chichewa']",None,None,['Chichewa'],None
Malaysia,['Malay'],None,None,None,None
Maldives,['Dhivehi'],None,None,None,None
Mali,['French'],['Tamazight (Azawad district)'],None,None,None
Malta,"['English, Maltese']",None,None,['Maltese'],None
Sovereign Military Order of Malta,['Italian'],None,None,None,None
Marshall Islands,['English'],None,None,['Marshallese'],None
Mauritania,['Arabic'],None,None,"['Arabic', 'Fula', 'Soninke', 'Wolof']",['French']
Mauritius,['English'],None,None,['French'],None
Mexico,['Spanish (de facto)'],None,None,None,None
Federated States of Micronesia,['Woleaian'],"['English (statewide except in Kosrae)', 'Chuukese (in Chuuk)', 'Kosraean (in Kosrae)']",None,None,None
Moldova,['Romanian'],"['Gagauz', 'Russian', 'Ukrainian']",None,None,None
Monaco,['French'],None,None,None,['Monégasque']
Mongolia,['Mongolian'],None,None,None,None
Montenegro,"['Albanian (in Ulcinj)', 'Croatian (in Tivat)', 'Serbian (in Herceg Novi)']",['Bosnian (in the north)'],None,['Montenegrin'],['Serbian']
Morocco,"['Arabic', 'Tamazight']",None,None,None,None
Mozambique,['Portuguese'],None,None,None,None
